id,po_number,supplier,origin_port,dest_fc_id,status,planned_arrival,created_at
1,PO-1000,Klang Valley Timber,MYPKG,4,RECEIVED,2026-01-25,2025-11-29 00:00:00+00
2,PO-1001,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-09-20,2026-07-17 00:00:00+00
3,PO-1002,Klang Valley Timber,MYPKG,2,RECEIVED,2026-01-16,2025-11-13 00:00:00+00
4,PO-1003,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-06-10,2026-04-15 00:00:00+00
5,PO-1004,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-04-22,2026-02-28 00:00:00+00
6,PO-1005,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-05-21,2026-03-25 00:00:00+00
7,PO-1006,Shanghai Home Works,CNSHA,3,RECEIVED,2026-01-27,2025-11-26 00:00:00+00
8,PO-1007,Shanghai Home Works,CNSHA,2,RECEIVED,2026-08-28,2026-07-02 00:00:00+00
9,PO-1008,Klang Valley Timber,MYPKG,4,RECEIVED,2026-07-04,2026-05-05 00:00:00+00
10,PO-1009,Klang Valley Timber,MYPKG,3,RECEIVED,2026-05-21,2026-03-13 00:00:00+00
11,PO-1010,Klang Valley Timber,MYPKG,3,RECEIVED,2026-07-25,2026-05-15 00:00:00+00
12,PO-1011,Shanghai Home Works,CNSHA,4,RECEIVED,2025-11-25,2025-10-02 00:00:00+00
13,PO-1012,Klang Valley Timber,MYPKG,4,RECEIVED,2026-08-01,2026-06-03 00:00:00+00
14,PO-1013,Shanghai Home Works,CNSHA,2,RECEIVED,2026-04-18,2026-02-23 00:00:00+00
15,PO-1014,Shanghai Home Works,CNSHA,4,RECEIVED,2026-01-25,2025-12-05 00:00:00+00
16,PO-1015,Klang Valley Timber,MYPKG,1,RECEIVED,2026-05-18,2026-03-20 00:00:00+00
17,PO-1016,Shanghai Home Works,CNSHA,3,RECEIVED,2025-12-30,2025-10-26 00:00:00+00
18,PO-1017,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-03-13,2026-01-03 00:00:00+00
19,PO-1018,Shanghai Home Works,CNSHA,3,RECEIVED,2026-09-09,2026-07-06 00:00:00+00
20,PO-1019,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-03-26,2026-01-24 00:00:00+00
21,PO-1020,Klang Valley Timber,MYPKG,4,RECEIVED,2026-08-06,2026-06-10 00:00:00+00
22,PO-1021,Shanghai Home Works,CNSHA,3,RECEIVED,2026-07-19,2026-05-16 00:00:00+00
23,PO-1022,Klang Valley Timber,MYPKG,2,RECEIVED,2025-11-12,2025-09-12 00:00:00+00
24,PO-1023,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-07-23,2026-05-31 00:00:00+00
25,PO-1024,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-01-06,2025-11-09 00:00:00+00
26,PO-1025,Klang Valley Timber,MYPKG,1,RECEIVED,2026-09-22,2026-07-29 00:00:00+00
27,PO-1026,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-07-02,2026-05-08 00:00:00+00
28,PO-1027,Shanghai Home Works,CNSHA,4,RECEIVED,2026-03-27,2026-02-05 00:00:00+00
29,PO-1028,Shanghai Home Works,CNSHA,4,RECEIVED,2026-06-25,2026-05-02 00:00:00+00
30,PO-1029,Saigon Furniture Co.,VNSGN,4,RECEIVED,2025-12-22,2025-10-25 00:00:00+00
31,PO-1030,Klang Valley Timber,MYPKG,3,RECEIVED,2026-01-25,2025-11-15 00:00:00+00
32,PO-1031,Klang Valley Timber,MYPKG,2,RECEIVED,2026-04-23,2026-02-20 00:00:00+00
33,PO-1032,Shanghai Home Works,CNSHA,2,RECEIVED,2026-07-15,2026-05-21 00:00:00+00
34,PO-1033,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-04-18,2026-02-16 00:00:00+00
35,PO-1034,Klang Valley Timber,MYPKG,3,RECEIVED,2026-02-08,2025-12-03 00:00:00+00
36,PO-1035,Klang Valley Timber,MYPKG,4,RECEIVED,2026-03-15,2026-01-17 00:00:00+00
37,PO-1036,Shanghai Home Works,CNSHA,4,RECEIVED,2026-01-28,2025-12-09 00:00:00+00
38,PO-1037,Klang Valley Timber,MYPKG,2,RECEIVED,2026-05-03,2026-03-03 00:00:00+00
39,PO-1038,Klang Valley Timber,MYPKG,2,RECEIVED,2026-01-30,2025-11-30 00:00:00+00
40,PO-1039,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-09-06,2026-07-08 00:00:00+00
41,PO-1040,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-07-26,2026-05-29 00:00:00+00
42,PO-1041,Klang Valley Timber,MYPKG,3,RECEIVED,2026-02-25,2025-12-16 00:00:00+00
43,PO-1042,Shanghai Home Works,CNSHA,2,RECEIVED,2025-11-13,2025-09-18 00:00:00+00
44,PO-1043,Klang Valley Timber,MYPKG,3,RECEIVED,2026-08-02,2026-05-27 00:00:00+00
45,PO-1044,Shanghai Home Works,CNSHA,4,RECEIVED,2025-11-27,2025-10-08 00:00:00+00
46,PO-1045,Klang Valley Timber,MYPKG,3,RECEIVED,2026-02-27,2025-12-21 00:00:00+00
47,PO-1046,Klang Valley Timber,MYPKG,3,RECEIVED,2026-01-29,2025-11-19 00:00:00+00
48,PO-1047,Klang Valley Timber,MYPKG,3,RECEIVED,2026-04-29,2026-02-19 00:00:00+00
49,PO-1048,Shanghai Home Works,CNSHA,2,RECEIVED,2025-11-27,2025-10-05 00:00:00+00
50,PO-1049,Shanghai Home Works,CNSHA,3,RECEIVED,2025-11-27,2025-09-26 00:00:00+00
51,PO-1050,Shanghai Home Works,CNSHA,4,RECEIVED,2025-11-29,2025-10-09 00:00:00+00
52,PO-1051,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-04-04,2026-02-07 00:00:00+00
53,PO-1052,Klang Valley Timber,MYPKG,1,RECEIVED,2026-02-01,2025-12-06 00:00:00+00
54,PO-1053,Shanghai Home Works,CNSHA,3,RECEIVED,2026-03-09,2026-01-03 00:00:00+00
55,PO-1054,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-04-29,2026-02-21 00:00:00+00
56,PO-1055,Klang Valley Timber,MYPKG,3,RECEIVED,2026-08-31,2026-06-25 00:00:00+00
57,PO-1056,Shanghai Home Works,CNSHA,4,RECEIVED,2026-07-24,2026-05-31 00:00:00+00
58,PO-1057,Klang Valley Timber,MYPKG,1,RECEIVED,2025-10-26,2025-08-30 00:00:00+00
59,PO-1058,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-08-07,2026-06-11 00:00:00+00
60,PO-1059,Shanghai Home Works,CNSHA,3,RECEIVED,2026-04-01,2026-01-29 00:00:00+00
61,PO-1060,Klang Valley Timber,MYPKG,3,RECEIVED,2026-05-03,2026-02-23 00:00:00+00
62,PO-1061,Klang Valley Timber,MYPKG,4,RECEIVED,2026-05-26,2026-03-29 00:00:00+00
63,PO-1062,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-04-08,2026-02-12 00:00:00+00
64,PO-1063,Klang Valley Timber,MYPKG,1,RECEIVED,2026-02-10,2025-12-13 00:00:00+00
65,PO-1064,Shanghai Home Works,CNSHA,2,RECEIVED,2025-11-30,2025-10-05 00:00:00+00
66,PO-1065,Klang Valley Timber,MYPKG,3,RECEIVED,2026-06-12,2026-04-02 00:00:00+00
67,PO-1066,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-08-16,2026-06-22 00:00:00+00
68,PO-1067,Shanghai Home Works,CNSHA,4,RECEIVED,2025-10-14,2025-08-21 00:00:00+00
69,PO-1068,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-02-25,2025-12-31 00:00:00+00
70,PO-1069,Shanghai Home Works,CNSHA,4,RECEIVED,2026-07-26,2026-06-04 00:00:00+00
71,PO-1070,Shanghai Home Works,CNSHA,3,RECEIVED,2026-09-19,2026-07-15 00:00:00+00
72,PO-1071,Saigon Furniture Co.,VNSGN,3,RECEIVED,2025-12-20,2025-10-14 00:00:00+00
73,PO-1072,Klang Valley Timber,MYPKG,2,RECEIVED,2026-09-18,2026-07-20 00:00:00+00
74,PO-1073,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-07-16,2026-05-16 00:00:00+00
75,PO-1074,Shanghai Home Works,CNSHA,2,RECEIVED,2025-12-25,2025-11-01 00:00:00+00
76,PO-1075,Shanghai Home Works,CNSHA,4,RECEIVED,2026-02-19,2025-12-29 00:00:00+00
77,PO-1076,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-01-21,2025-11-14 00:00:00+00
78,PO-1077,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-08-14,2026-06-18 00:00:00+00
79,PO-1078,Shanghai Home Works,CNSHA,4,RECEIVED,2025-11-27,2025-10-08 00:00:00+00
80,PO-1079,Klang Valley Timber,MYPKG,2,RECEIVED,2026-02-17,2025-12-15 00:00:00+00
81,PO-1080,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-09-17,2026-07-13 00:00:00+00
82,PO-1081,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-09-11,2026-07-18 00:00:00+00
83,PO-1082,Klang Valley Timber,MYPKG,3,RECEIVED,2026-08-12,2026-06-06 00:00:00+00
84,PO-1083,Shanghai Home Works,CNSHA,3,RECEIVED,2025-12-10,2025-10-09 00:00:00+00
