id,po_id,carrier,container_no,planned_departure,planned_arrival,predicted_arrival,predicted_confidence,prediction_basis,current_stage,version,updated_at
1,1,CMA CGM,MAEU9100992,2025-12-22,2026-01-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
2,2,Maersk,MAEU0133613,2026-08-09,2026-09-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
3,3,ONE,MAEU6036318,2025-12-10,2026-01-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
4,4,CMA CGM,MAEU2294786,2026-05-11,2026-06-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
5,5,Evergreen,MAEU1854898,2026-03-23,2026-04-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
6,6,CMA CGM,MAEU7725908,2026-04-17,2026-05-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
7,7,Maersk,MAEU5945946,2025-12-19,2026-01-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
8,8,ONE,MAEU1798922,2026-07-29,2026-08-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
9,9,CMA CGM,MAEU4579083,2026-05-31,2026-07-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
10,10,ONE,MAEU0154281,2026-04-07,2026-05-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
11,11,CMA CGM,MAEU9872980,2026-06-11,2026-07-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
12,12,CMA CGM,MAEU5695017,2025-10-29,2025-11-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
13,13,ONE,MAEU4341503,2026-06-28,2026-08-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
14,14,CMA CGM,MAEU9933935,2026-03-19,2026-04-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
15,15,ONE,MAEU2232882,2025-12-29,2026-01-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
16,16,ONE,MAEU0371398,2026-04-16,2026-05-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
17,17,ONE,MAEU0857429,2025-11-21,2025-12-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
18,18,CMA CGM,MAEU6134162,2026-01-30,2026-03-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
19,19,CMA CGM,MAEU1746486,2026-08-01,2026-09-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
20,20,Maersk,MAEU2642265,2026-02-20,2026-03-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
21,21,ONE,MAEU0624825,2026-07-03,2026-08-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
22,22,Maersk,MAEU3789266,2026-06-10,2026-07-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
23,23,Maersk,MAEU3157045,2025-10-06,2025-11-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
24,24,CMA CGM,MAEU6714744,2026-06-23,2026-07-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
25,25,Evergreen,MAEU9174304,2025-12-03,2026-01-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
26,26,CMA CGM,MAEU9879838,2026-08-21,2026-09-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
27,27,Evergreen,MAEU6631270,2026-06-01,2026-07-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
28,28,CMA CGM,MAEU6816567,2026-02-28,2026-03-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
29,29,Maersk,MAEU7649031,2026-05-29,2026-06-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
30,30,ONE,MAEU3712023,2025-11-21,2025-12-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
31,31,Evergreen,MAEU8338745,2025-12-12,2026-01-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
32,32,Evergreen,MAEU6607620,2026-03-17,2026-04-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
33,33,ONE,MAEU7269132,2026-06-15,2026-07-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
34,34,CMA CGM,MAEU0236126,2026-03-15,2026-04-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
35,35,CMA CGM,MAEU4645448,2025-12-26,2026-02-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
36,36,Maersk,MAEU7242386,2026-02-09,2026-03-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
37,37,Evergreen,MAEU7193731,2026-01-01,2026-01-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
38,38,ONE,MAEU0949739,2026-03-27,2026-05-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
39,39,Maersk,MAEU0404789,2025-12-24,2026-01-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
40,40,CMA CGM,MAEU5354416,2026-08-03,2026-09-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
41,41,Maersk,MAEU8544207,2026-06-25,2026-07-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
42,42,CMA CGM,MAEU1573502,2026-01-12,2026-02-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
43,43,ONE,MAEU2749947,2025-10-14,2025-11-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
44,44,CMA CGM,MAEU8746409,2026-06-19,2026-08-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
45,45,Maersk,MAEU5523810,2025-10-31,2025-11-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
46,46,Evergreen,MAEU4099692,2026-01-14,2026-02-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
47,47,Maersk,MAEU6813359,2025-12-16,2026-01-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
48,48,ONE,MAEU4532366,2026-03-16,2026-04-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
49,49,CMA CGM,MAEU0207489,2025-10-28,2025-11-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
50,50,Evergreen,MAEU0392295,2025-10-19,2025-11-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
51,51,ONE,MAEU7802469,2025-11-02,2025-11-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
52,52,Maersk,MAEU6251715,2026-03-05,2026-04-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
53,53,Evergreen,MAEU9386000,2025-12-31,2026-02-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
54,54,Evergreen,MAEU7083656,2026-01-29,2026-03-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
55,55,Evergreen,MAEU0755549,2026-03-18,2026-04-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
56,56,CMA CGM,MAEU1127834,2026-07-18,2026-08-31,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
57,57,CMA CGM,MAEU5868690,2026-06-27,2026-07-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
58,58,CMA CGM,MAEU0186644,2025-09-24,2025-10-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
59,59,CMA CGM,MAEU5290615,2026-07-04,2026-08-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
60,60,CMA CGM,MAEU3427894,2026-02-21,2026-04-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
61,61,CMA CGM,MAEU4163528,2026-03-20,2026-05-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
62,62,Evergreen,MAEU0389017,2026-04-22,2026-05-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
63,63,Evergreen,MAEU5955679,2026-03-09,2026-04-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
64,64,Evergreen,MAEU0361461,2026-01-09,2026-02-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
65,65,ONE,MAEU7181106,2025-10-31,2025-11-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
66,66,ONE,MAEU3743199,2026-04-29,2026-06-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
67,67,Evergreen,MAEU0914042,2026-07-16,2026-08-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
68,68,Evergreen,MAEU6207691,2025-09-17,2025-10-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
69,69,CMA CGM,MAEU9474813,2026-01-25,2026-02-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
70,70,Maersk,MAEU9426220,2026-06-29,2026-07-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
71,71,ONE,MAEU6268379,2026-08-11,2026-09-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
72,72,Evergreen,MAEU8657939,2025-11-08,2025-12-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
73,73,Evergreen,MAEU4955540,2026-08-12,2026-09-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
74,74,Evergreen,MAEU6215405,2026-06-12,2026-07-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
75,75,ONE,MAEU5713169,2025-11-25,2025-12-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
76,76,CMA CGM,MAEU6239310,2026-01-23,2026-02-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
77,77,CMA CGM,MAEU7602517,2025-12-10,2026-01-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
78,78,Evergreen,MAEU2289805,2026-07-14,2026-08-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
79,79,Evergreen,MAEU3312441,2025-10-31,2025-11-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
80,80,CMA CGM,MAEU6758394,2026-01-11,2026-02-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
81,81,Evergreen,MAEU7510064,2026-08-06,2026-09-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
82,82,CMA CGM,MAEU8542195,2026-08-12,2026-09-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
83,83,Maersk,MAEU8638374,2026-06-29,2026-08-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
84,84,CMA CGM,MAEU6144728,2025-11-01,2025-12-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
85,85,Evergreen,MAEU6709750,2026-06-21,2026-08-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
86,86,CMA CGM,MAEU4499319,2026-08-02,2026-09-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
87,87,Maersk,MAEU4514198,2026-03-01,2026-04-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
88,88,Maersk,MAEU2584854,2026-01-17,2026-02-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
