id,shipment_id,type,occurred_at,source,event_id,recorded_at
1,1,BOOKED,2025-12-19 07:35:00+00,CARRIER_EDI,c681075a-d872-4722-ba78-fc3c5e901c04,2026-09-10 09:23:18.966662+00
2,1,DEPARTED_ORIGIN,2025-12-22 15:32:00+00,CARRIER_EDI,132f291d-cd09-4d75-8680-03492352a2ca,2026-09-10 09:23:18.966662+00
3,1,ARRIVED_DEST_PORT,2026-01-19 16:08:00+00,CARRIER_EDI,7de128bd-6659-43cb-b362-b7910e3bc718,2026-09-10 09:23:18.966662+00
4,1,CUSTOMS_CLEARED,2026-01-22 11:55:00+00,CARRIER_EDI,e9a5e14b-6813-44e0-a529-53cd098263a7,2026-09-10 09:23:18.966662+00
5,1,RECEIVED_FC,2026-01-24 14:57:00+00,WMS,40988520-4362-48ce-8e76-7e03bceaa729,2026-09-10 09:23:18.966662+00
6,2,BOOKED,2026-08-06 08:49:00+00,CARRIER_EDI,6bf75f7b-7894-4a49-84db-f1cdaabaf1e9,2026-09-10 09:23:18.966662+00
7,2,DEPARTED_ORIGIN,2026-08-09 06:53:00+00,CARRIER_EDI,c0d78464-1d79-4b69-8058-c7e37a37842e,2026-09-10 09:23:18.966662+00
8,2,ARRIVED_DEST_PORT,2026-09-22 09:14:00+00,CARRIER_EDI,f41b3163-321b-48f0-9019-848255fd1d15,2026-09-10 09:23:18.966662+00
9,2,CUSTOMS_CLEARED,2026-09-23 13:47:00+00,CARRIER_EDI,7b177b68-7b6d-43ac-b563-70c7d2e9d7c1,2026-09-10 09:23:18.966662+00
10,2,RECEIVED_FC,2026-09-27 06:54:00+00,WMS,573f8b39-30da-4b17-ad7c-bdfbcce2d95f,2026-09-10 09:23:18.966662+00
11,3,BOOKED,2025-12-03 11:07:00+00,CARRIER_EDI,c051ad56-c0a6-48ce-9d7d-d9633edb395d,2026-09-10 09:23:18.966662+00
12,3,DEPARTED_ORIGIN,2025-12-10 10:01:00+00,CARRIER_EDI,8c94bce4-1223-4522-83f2-29782c0ccc76,2026-09-10 09:23:18.966662+00
13,3,ARRIVED_DEST_PORT,2025-12-30 16:25:00+00,CARRIER_EDI,2cb86c01-c4de-49eb-adaa-9996b1eed749,2026-09-10 09:23:18.966662+00
14,3,CUSTOMS_CLEARED,2026-01-01 15:27:00+00,CARRIER_EDI,9f0d2b61-d4d4-41c4-83c3-1963a2939c3b,2026-09-10 09:23:18.966662+00
